Channel,Frequency,UpperLimit[ft],LowerLimit[ft],DepthValid,Depth[ft],WaterTempValid,WaterTemp[C],WaterSpeedValid,WaterSpeed[kn],PositionValid,PositionX,PositionY,TimeOffset[ms],SpeedValid,Speed[kn],TrackValid,Track[rad],AltitudeValid,Altitude[ft],HeadingValid,Heading[rad]
Primary,200kHz,0.000000,13.100000,T,3.631000,T,12.820007,F,0.000000,T,18427417,8468478,168,T,2.896328,T,1.186824,T,-9.514436,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.631000,T,12.820007,F,0.000000,T,18427418,8468478,274,T,2.896328,T,1.343904,T,-9.514436,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.633000,T,12.820007,F,0.000000,T,18427418,8468478,486,T,2.896328,T,1.343904,T,-9.809711,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.633000,T,12.820007,F,0.000000,T,18427419,8468478,592,T,2.896328,T,1.466077,T,-9.809711,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.668000,T,12.820007,F,0.000000,T,18427420,8468478,804,T,2.993520,T,1.588250,T,-9.809711,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.668000,T,12.820007,F,0.000000,T,18427420,8468478,910,T,2.993520,T,1.588250,T,-9.809711,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.729000,T,12.820007,F,0.000000,T,18427420,8468478,1124,T,2.896328,T,1.710423,T,-9.809711,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.729000,T,12.820007,F,0.000000,T,18427421,8468478,1228,T,2.896328,T,1.710423,T,-9.809711,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.788000,T,12.820007,F,0.000000,T,18427421,8468478,1347,T,2.682505,T,1.832596,T,-9.809711,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.788000,T,12.820007,F,0.000000,T,18427421,8468478,1448,T,2.682505,T,1.832596,T,-10.006558,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.788000,T,12.820007,F,0.000000,T,18427421,8468478,1550,T,2.799136,T,1.937316,T,-10.006558,F,0.000000
Primary,200kHz,0.000000,13.100000,T,3.788000,T,12.820007,F,0.000000,T,18427421,8468478,1653,T,2.799136,T,1.937316,T,-10.006558,F,0.000000
